symbol,company,market_cap_cr,rank,cap_tier
541770,CreditAccess Grameen Ltd.,21268.38,338,Small
544515,Urban Company Limited,21168.92,339,Small
532642,JSW HOLDINGS LIMITED,21053.46,340,Small
533295,PUNJAB & SIND BANK,21026.53,341,Small
544292,Onesource Specialty Pharma Lim,20904.41,342,Small
522287,KALPATARU PROJECTS INTERNATION,20879.38,343,Small
544397,Ather Energy Limited,20851.53,344,Small
500403,SUNDRAM FASTENERS LTD.,20686.04,345,Small
515055,ANANT RAJ LIMITED,20543.64,346,Small
500040,ADITYA BIRLA REAL ESTATE LIMIT,20443.24,347,Small
544225,Ola Electric Mobility Limited,20391.20,348,Small
542399,Chalet Hotels Limited,20367.89,349,Small
500085,CHAMBAL FERTILISERS & CHEMICAL,20317.27,350,Small
532927,ECLERX SERVICES LTD.,20100.75,351,Small
500870,CASTROL INDIA LTD.,19988.71,352,Small
534139,SCHNEIDER ELECTRIC INFRASTRUCT,19958.35,353,Small
531768,POLY MEDICURE LTD.,19949.92,354,Small
523367,DCM SHRIRAM LIMITED,19787.72,355,Small
543330,Devyani International Limited,19740.24,356,Small
500042,BASF INDIA LTD.,19608.85,357,Small
544612,Tenneco Clean Air India Limite,19602.79,358,Small
500165,KANSAI NEROLAC PAINTS LTD.,19574.34,359,Small
524558,NEULAND LABORATORIES LTD.,19314.29,360,Small
539876,Crompton Greaves Consumer Elec,19299.17,361,Small
543232,Computer Age Management Servic,19283.89,362,Small
500125,E.I.D.-PARRY (INDIA) LTD.,19275.29,363,Small
543720,KFin Technologies Limited,19261.81,364,Small
532939,RELIANCE POWER LTD.,19186.04,365,Small
543653,Bikaji Foods International Lim,18636.09,366,Small
500233,KAJARIA CERAMICS LTD.,18606.30,367,Small
500027,ATUL LTD.,18555.17,368,Small
504614,SARDA ENERGY & MINERALS LTD.,18465.05,369,Small
533573,ALEMBIC PHARMACEUTICALS LTD.,18407.28,370,Small
500645,DEEPAK FERTILISERS & PETROCHEM,18331.67,371,Small
544226,Brainbees Solutions Limited,18306.37,372,Small
544480,JSW CEMENT LIMITED,18253.21,373,Small
544306,Sai Life Sciences Limited,18094.20,374,Small
531595,CAPRI GLOBAL CAPITAL LIMITED,17989.45,375,Small
500008,Amara Raja Energy & Mobility L,17871.56,376,Small
506076,GRINDWELL NORTON LTD.,17855.91,377,Small
500472,SKF INDIA LTD.,17784.20,378,Small
524200,VINATI ORGANICS LTD.,17780.52,379,Small
500266,MAHARASHTRA SCOOTERS LTD.,17759.86,380,Small
530019,JUBILANT PHARMOVA LIMITED,17701.55,381,Small
504067,ZENSAR TECHNOLOGIES LTD.,17688.78,382,Small
543663,Five-Star Business Finance Ltd,17604.03,383,Small
533655,TRIVENI TURBINE LTD.,17480.38,384,Small
540065,RBL Bank Limited,17458.05,385,Small
513375,CARBORUNDUM UNIVERSAL LTD.,17436.98,386,Small
532702,GUJARAT STATE PETRONET LTD.,17393.32,387,Small
520111,RATNAMANI METALS & TUBES LTD.,17325.43,388,Small
533581,PG ELECTROPLAST LTD.,17286.88,389,Small
